№;X;Y
1;250,000;0,586
2;251,000;0,585
3;252,000;0,585
4;253,000;0,584
5;254,000;0,583
6;255,000;0,581
7;256,000;0,580
8;257,000;0,578
9;258,000;0,576
10;259,000;0,574
11;260,000;0,572
12;261,000;0,568
13;262,000;0,563
14;263,000;0,560
15;264,000;0,557
16;265,000;0,554
17;266,000;0,552
18;267,000;0,548
19;268,000;0,544
20;269,000;0,540
21;270,000;0,536
22;271,000;0,532
23;272,000;0,528
24;273,000;0,525
25;274,000;0,520
26;275,000;0,516
27;276,000;0,511
28;277,000;0,507
29;278,000;0,502
30;279,000;0,498
31;280,000;0,493
32;281,000;0,487
33;282,000;0,483
34;283,000;0,478
35;284,000;0,473
36;285,000;0,468
37;286,000;0,462
38;287,000;0,457
39;288,000;0,452
40;289,000;0,447
41;290,000;0,442
42;291,000;0,437
43;292,000;0,431
44;293,000;0,425
45;294,000;0,419
46;295,000;0,413
47;296,000;0,408
48;297,000;0,401
49;298,000;0,395
50;299,000;0,389
51;300,000;0,382
52;301,000;0,375
53;302,000;0,367
54;303,000;0,359
55;304,000;0,351
56;305,000;0,342
57;306,000;0,335
58;307,000;0,326
59;308,000;0,319
60;309,000;0,312
61;310,000;0,305
62;311,000;0,298
63;312,000;0,292
64;313,000;0,286
65;314,000;0,281
66;315,000;0,278
67;316,000;0,274
68;317,000;0,271
69;318,000;0,267
70;319,000;0,265
71;320,000;0,264
72;321,000;0,263
73;322,000;0,262
74;323,000;0,262
75;324,000;0,263
76;325,000;0,264
77;326,000;0,266
78;327,000;0,269
79;328,000;0,272
80;329,000;0,276
81;330,000;0,280
82;331,000;0,286
83;332,000;0,293
84;333,000;0,301
85;334,000;0,310
86;335,000;0,321
87;336,000;0,331
88;337,000;0,342
89;338,000;0,353
90;339,000;0,363
91;340,000;0,374
92;341,000;0,383
93;342,000;0,395
94;343,000;0,407
95;344,000;0,419
96;345,000;0,433
97;346,000;0,446
98;347,000;0,459
99;348,000;0,472
100;349,000;0,485
101;350,000;0,497
102;351,000;0,508
103;352,000;0,520
104;353,000;0,532
105;354,000;0,543
106;355,000;0,555
107;356,000;0,566
108;357,000;0,576
109;358,000;0,586
110;359,000;0,595
111;360,000;0,605
112;361,000;0,614
113;362,000;0,622
114;363,000;0,630
115;364,000;0,638
116;365,000;0,645
117;366,000;0,651
118;367,000;0,658
119;368,000;0,665
120;369,000;0,671
121;370,000;0,677
122;371,000;0,683
123;372,000;0,688
124;373,000;0,693
125;374,000;0,699
126;375,000;0,703
127;376,000;0,708
128;377,000;0,712
129;378,000;0,716
130;379,000;0,719
131;380,000;0,723
132;381,000;0,725
133;382,000;0,729
134;383,000;0,732
135;384,000;0,734
136;385,000;0,737
137;386,000;0,740
138;387,000;0,742
139;388,000;0,744
140;389,000;0,747
141;390,000;0,749
142;391,000;0,751
143;392,000;0,753
144;393,000;0,755
145;394,000;0,757
146;395,000;0,757
147;396,000;0,758
148;397,000;0,759
149;398,000;0,760
150;399,000;0,761
151;400,000;0,762
